FIPS,p_Est,n_Est,Base_pop,Sample,Dis_Type,Dis_TypeL,StateAB
,0.1043936626,20403873,195451261,1872500,1,Disability,
1,0.142689746,421940,2957045,28016,1,Disability,AL
2,0.0969814449,45979,474101,4059,1,Disability,AK
4,0.0990434947,388209,3919581,37677,1,Disability,AZ
5,0.1520883294,268647,1766388,16985,1,Disability,AR
6,0.0826295362,1991752,24104601,227321,1,Disability,CA
8,0.091596503,305926,3339931,32154,1,Disability,CO
9,0.0818047527,183634,2244784,21900,1,Disability,CT
10,0.1086904536,61814,568716,5162,1,Disability,DE
11,0.0879074939,40163,456878,4533,1,Disability,DC
12,0.1024139794,1199132,11708675,109898,1,Disability,FL
13,0.1088931064,675210,6200668,57721,1,Disability,GA
15,0.0754413664,65653,870252,8598,1,Disability,HI
16,0.1113061728,105755,950127,8971,1,Disability,ID
17,0.0900488075,723084,8029912,77542,1,Disability,IL
18,0.1227882851,492764,4013119,39474,1,Disability,IN
19,0.1016396615,190124,1870569,18448,1,Disability,IA
20,0.1020133813,178102,1745869,16897,1,Disability,KS
21,0.1552404814,419724,2703702,26671,1,Disability,KY
22,0.1296411348,368507,2842516,26238,1,Disability,LA
23,0.1465251478,121484,829100,7753,1,Disability,ME
24,0.0858361272,321932,3750542,36185,1,Disability,MD
25,0.0919675689,393391,4277497,42728,1,Disability,MA
26,0.1273017759,777352,6106372,59409,1,Disability,MI
27,0.088512292,297822,3364753,32687,1,Disability,MN
28,0.1564667858,281508,1799155,17127,1,Disability,MS
29,0.1244819664,458637,3684365,36041,1,Disability,MO
30,0.1164086947,72282,620933,5928,1,Disability,MT
31,0.0845161719,95442,1129275,10913,1,Disability,NE
32,0.1133905685,195789,1726678,16016,1,Disability,NV
33,0.1014066695,85477,842913,8272,1,Disability,NH
34,0.0793421431,439159,5535003,53696,1,Disability,NJ
35,0.1296815189,162309,1251597,11287,1,Disability,NM
36,0.0877035742,1094398,12478374,120673,1,Disability,NY
37,0.1162571531,708213,6091780,58378,1,Disability,NC
38,0.0775947913,35455,456925,4343,1,Disability,ND
39,0.1191616628,844360,7085836,70546,1,Disability,OH
40,0.1359376208,314783,2315643,21397,1,Disability,OK
41,0.1278710882,312592,2444587,23443,1,Disability,OR
42,0.1083917089,851930,7859734,76903,1,Disability,PA
44,0.0993127148,66759,672210,6700,1,Disability,RI
45,0.1241740661,363475,2927141,27865,1,Disability,SC
46,0.1133382348,57500,507331,4900,1,Disability,SD
47,0.1392154016,557207,4002481,38926,1,Disability,TN
48,0.1001351942,1619193,16170069,149672,1,Disability,TX
49,0.0864079646,147321,1704947,16322,1,Disability,UT
50,0.1110825197,44032,396390,3989,1,Disability,VT
51,0.0902677437,471170,5219694,51029,1,Disability,VA
53,0.1083818161,476006,4391936,41955,1,Disability,WA
54,0.1844404021,209075,1133564,10788,1,Disability,WV
55,0.1022534107,362609,3546180,34910,1,Disability,WI
56,0.1083415091,39092,360822,3454,1,Disability,WY
,0.0194706649,3805566,195451261,1872500,2,Visual Disability,
1,0.0269806513,79783,2957045,28016,2,Visual Disability,AL
2,0.0150284433,7125,474101,4059,2,Visual Disability,AK
4,0.020777476,81439,3919581,37677,2,Visual Disability,AZ
5,0.0302459029,53426,1766388,16985,2,Visual Disability,AR
6,0.0164084857,395520,24104601,227321,2,Visual Disability,CA
8,0.0178734231,59696,3339931,32154,2,Visual Disability,CO
9,0.0140623775,31567,2244784,21900,2,Visual Disability,CT
10,0.0202473642,11515,568716,5162,2,Visual Disability,DE
11,0.0184907131,8448,456878,4533,2,Visual Disability,DC
12,0.0196839523,230473,11708675,109898,2,Visual Disability,FL
13,0.023876621,148051,6200668,57721,2,Visual Disability,GA
15,0.0131249339,11422,870252,8598,2,Visual Disability,HI
16,0.022152828,21048,950127,8971,2,Visual Disability,ID
17,0.0171627037,137815,8029912,77542,2,Visual Disability,IL
18,0.0225634974,90550,4013119,39474,2,Visual Disability,IN
19,0.0141293906,26430,1870569,18448,2,Visual Disability,IA
20,0.0155137642,27085,1745869,16897,2,Visual Disability,KS
21,0.0290660731,78586,2703702,26671,2,Visual Disability,KY
22,0.0297778447,84644,2842516,26238,2,Visual Disability,LA
23,0.0160197805,13282,829100,7753,2,Visual Disability,ME
24,0.0155918798,58478,3750542,36185,2,Visual Disability,MD
25,0.0153164339,65516,4277497,42728,2,Visual Disability,MA
26,0.0205385456,125416,6106372,59409,2,Visual Disability,MI
27,0.0121646373,40931,3364753,32687,2,Visual Disability,MN
28,0.0349903149,62953,1799155,17127,2,Visual Disability,MS
29,0.0213700326,78735,3684365,36041,2,Visual Disability,MO
30,0.020082682,12470,620933,5928,2,Visual Disability,MT
31,0.0147510571,16658,1129275,10913,2,Visual Disability,NE
32,0.025363154,43794,1726678,16016,2,Visual Disability,NV
33,0.0133797913,11278,842913,8272,2,Visual Disability,NH
34,0.0161320599,89291,5535003,53696,2,Visual Disability,NJ
35,0.0276430832,34598,1251597,11287,2,Visual Disability,NM
36,0.0157811426,196923,12478374,120673,2,Visual Disability,NY
37,0.0217026879,132208,6091780,58378,2,Visual Disability,NC
38,0.0129627401,5923,456925,4343,2,Visual Disability,ND
39,0.0208668391,147859,7085836,70546,2,Visual Disability,OH
40,0.027341002,63312,2315643,21397,2,Visual Disability,OK
41,0.0238706988,58354,2444587,23443,2,Visual Disability,OR
42,0.0176504701,138728,7859734,76903,2,Visual Disability,PA
44,0.0179899139,12093,672210,6700,2,Visual Disability,RI
45,0.023920269,70018,2927141,27865,2,Visual Disability,SC
46,0.0209015416,10604,507331,4900,2,Visual Disability,SD
47,0.0276633418,110722,4002481,38926,2,Visual Disability,TN
48,0.0209315124,338464,16170069,149672,2,Visual Disability,TX
49,0.0138039482,23535,1704947,16322,2,Visual Disability,UT
50,0.0165190847,6548,396390,3989,2,Visual Disability,VT
51,0.0150727227,78675,5219694,51029,2,Visual Disability,VA
53,0.01716168,75373,4391936,41955,2,Visual Disability,WA
54,0.0350487489,39730,1133564,10788,2,Visual Disability,WV
55,0.0146179833,51838,3546180,34910,2,Visual Disability,WI
56,0.0183913398,6636,360822,3454,2,Visual Disability,WY
,0.0209324104,4091266,195451261,1872500,3,Hearing Disability,
1,0.0267175508,79005,2957045,28016,3,Hearing Disability,AL
2,0.0295274636,13999,474101,4059,3,Hearing Disability,AK
4,0.021647722,84850,3919581,37677,3,Hearing Disability,AZ
5,0.0287530259,50789,1766388,16985,3,Hearing Disability,AR
6,0.016034864,386514,24104601,227321,3,Hearing Disability,CA
8,0.0232567679,77676,3339931,32154,3,Hearing Disability,CO
9,0.0157943927,35455,2244784,21900,3,Hearing Disability,CT
10,0.02316622,13175,568716,5162,3,Hearing Disability,DE
11,0.0129815837,5931,456878,4533,3,Hearing Disability,DC
12,0.0181345882,212332,11708675,109898,3,Hearing Disability,FL
13,0.0219866634,136332,6200668,57721,3,Hearing Disability,GA
15,0.0174282851,15167,870252,8598,3,Hearing Disability,HI
16,0.0264248885,25107,950127,8971,3,Hearing Disability,ID
17,0.0172086568,138184,8029912,77542,3,Hearing Disability,IL
18,0.0272628347,109409,4013119,39474,3,Hearing Disability,IN
19,0.0218078029,40793,1870569,18448,3,Hearing Disability,IA
20,0.0226918515,39617,1745869,16897,3,Hearing Disability,KS
21,0.0298472243,80698,2703702,26671,3,Hearing Disability,KY
22,0.0258162135,73383,2842516,26238,3,Hearing Disability,LA
23,0.0308286093,25560,829100,7753,3,Hearing Disability,ME
24,0.0162419192,60916,3750542,36185,3,Hearing Disability,MD
25,0.017251444,73793,4277497,42728,3,Hearing Disability,MA
26,0.0235652201,143898,6106372,59409,3,Hearing Disability,MI
27,0.0200404012,67431,3364753,32687,3,Hearing Disability,MN
28,0.0301385928,54224,1799155,17127,3,Hearing Disability,MS
29,0.0255832416,94258,3684365,36041,3,Hearing Disability,MO
30,0.0276744834,17184,620933,5928,3,Hearing Disability,MT
31,0.0220176662,24864,1129275,10913,3,Hearing Disability,NE
32,0.0266019489,45933,1726678,16016,3,Hearing Disability,NV
33,0.0205382999,17312,842913,8272,3,Hearing Disability,NH
34,0.013714717,75911,5535003,53696,3,Hearing Disability,NJ
35,0.0293568936,36743,1251597,11287,3,Hearing Disability,NM
36,0.0149666936,186760,12478374,120673,3,Hearing Disability,NY
37,0.0218512487,133113,6091780,58378,3,Hearing Disability,NC
38,0.0228440116,10438,456925,4343,3,Hearing Disability,ND
39,0.0223984862,158712,7085836,70546,3,Hearing Disability,OH
40,0.0306614621,71001,2315643,21397,3,Hearing Disability,OK
41,0.0285946051,69902,2444587,23443,3,Hearing Disability,OR
42,0.0188950415,148510,7859734,76903,3,Hearing Disability,PA
44,0.0170110531,11435,672210,6700,3,Hearing Disability,RI
45,0.0235267109,68866,2927141,27865,3,Hearing Disability,SC
46,0.0312143354,15836,507331,4900,3,Hearing Disability,SD
47,0.0276868272,110816,4002481,38926,3,Hearing Disability,TN
48,0.0219059671,354221,16170069,149672,3,Hearing Disability,TX
49,0.0189008808,32225,1704947,16322,3,Hearing Disability,UT
50,0.0249072883,9873,396390,3989,3,Hearing Disability,VT
51,0.0179543092,93716,5219694,51029,3,Hearing Disability,VA
53,0.0257553844,113116,4391936,41955,3,Hearing Disability,WA
54,0.0430412398,48790,1133564,10788,3,Hearing Disability,WV
55,0.023987784,85065,3546180,34910,3,Hearing Disability,WI
56,0.0344435761,12428,360822,3454,3,Hearing Disability,WY
,0.0523259812,10227179,195451261,1872500,4,Ambulatory Disability,
1,0.0816703838,241503,2957045,28016,4,Ambulatory Disability,AL
2,0.0421977595,20006,474101,4059,4,Ambulatory Disability,AK
4,0.0512054732,200704,3919581,37677,4,Ambulatory Disability,AZ
5,0.0856946492,151370,1766388,16985,4,Ambulatory Disability,AR
6,0.0388087735,935470,24104601,227321,4,Ambulatory Disability,CA
8,0.0417014603,139280,3339931,32154,4,Ambulatory Disability,CO
9,0.0358462106,80467,2244784,21900,4,Ambulatory Disability,CT
10,0.0611394791,34771,568716,5162,4,Ambulatory Disability,DE
11,0.0461457982,21083,456878,4533,4,Ambulatory Disability,DC
12,0.0535758316,627302,11708675,109898,4,Ambulatory Disability,FL
13,0.0560126748,347316,6200668,57721,4,Ambulatory Disability,GA
15,0.0296672688,25818,870252,8598,4,Ambulatory Disability,HI
16,0.0496975667,47219,950127,8971,4,Ambulatory Disability,ID
17,0.0456419697,366501,8029912,77542,4,Ambulatory Disability,IL
18,0.0626054199,251243,4013119,39474,4,Ambulatory Disability,IN
19,0.0462132111,86445,1870569,18448,4,Ambulatory Disability,IA
20,0.049028879,85598,1745869,16897,4,Ambulatory Disability,KS
21,0.0865705614,234061,2703702,26671,4,Ambulatory Disability,KY
22,0.0666483496,189449,2842516,26238,4,Ambulatory Disability,LA
23,0.0662742733,54948,829100,7753,4,Ambulatory Disability,ME
24,0.042329082,158757,3750542,36185,4,Ambulatory Disability,MD
25,0.0424762425,181692,4277497,42728,4,Ambulatory Disability,MA
26,0.0649804827,396795,6106372,59409,4,Ambulatory Disability,MI
27,0.0360353345,121250,3364753,32687,4,Ambulatory Disability,MN
28,0.0893430527,160742,1799155,17127,4,Ambulatory Disability,MS
29,0.0649590906,239333,3684365,36041,4,Ambulatory Disability,MO
30,0.0543971733,33777,620933,5928,4,Ambulatory Disability,MT
31,0.0373204047,42145,1129275,10913,4,Ambulatory Disability,NE
32,0.059122778,102086,1726678,16016,4,Ambulatory Disability,NV
33,0.0454780031,38334,842913,8272,4,Ambulatory Disability,NH
34,0.0389219301,215433,5535003,53696,4,Ambulatory Disability,NJ
35,0.0675377138,84530,1251597,11287,4,Ambulatory Disability,NM
36,0.0445824913,556317,12478374,120673,4,Ambulatory Disability,NY
37,0.0629487605,383470,6091780,58378,4,Ambulatory Disability,NC
38,0.0310225967,14175,456925,4343,4,Ambulatory Disability,ND
39,0.0604778321,428536,7085836,70546,4,Ambulatory Disability,OH
40,0.0743046316,172063,2315643,21397,4,Ambulatory Disability,OK
41,0.0608262255,148695,2444587,23443,4,Ambulatory Disability,OR
42,0.0537693769,422613,7859734,76903,4,Ambulatory Disability,PA
44,0.0456271106,30671,672210,6700,4,Ambulatory Disability,RI
45,0.0656053125,192036,2927141,27865,4,Ambulatory Disability,SC
46,0.0535252133,27155,507331,4900,4,Ambulatory Disability,SD
47,0.076148269,304782,4002481,38926,4,Ambulatory Disability,TN
48,0.0496389966,802666,16170069,149672,4,Ambulatory Disability,TX
49,0.037635774,64167,1704947,16322,4,Ambulatory Disability,UT
50,0.0496077096,19664,396390,3989,4,Ambulatory Disability,VT
51,0.0445742605,232664,5219694,51029,4,Ambulatory Disability,VA
53,0.0488909674,214726,4391936,41955,4,Ambulatory Disability,WA
54,0.108663472,123177,1133564,10788,4,Ambulatory Disability,WV
55,0.0444447264,157609,3546180,34910,4,Ambulatory Disability,WI
56,0.0459090632,16565,360822,3454,4,Ambulatory Disability,WY
,0.0434428612,8490962,195451261,1872500,5,Cognitive Disability,
1,0.0539761823,159610,2957045,28016,5,Cognitive Disability,AL
2,0.036085138,17108,474101,4059,5,Cognitive Disability,AK
4,0.0396504116,155413,3919581,37677,5,Cognitive Disability,AZ
5,0.0596607314,105384,1766388,16985,5,Cognitive Disability,AR
6,0.0349275642,841915,24104601,227321,5,Cognitive Disability,CA
8,0.0367154292,122627,3339931,32154,5,Cognitive Disability,CO
9,0.0348029031,78125,2244784,21900,5,Cognitive Disability,CT
10,0.0459086785,26109,568716,5162,5,Cognitive Disability,DE
11,0.0404878326,18498,456878,4533,5,Cognitive Disability,DC
12,0.0412012461,482412,11708675,109898,5,Cognitive Disability,FL
13,0.0429271491,266177,6200668,57721,5,Cognitive Disability,GA
15,0.0288893332,25141,870252,8598,5,Cognitive Disability,HI
16,0.0501953949,47692,950127,8971,5,Cognitive Disability,ID
17,0.0348812042,280093,8029912,77542,5,Cognitive Disability,IL
18,0.049220818,197529,4013119,39474,5,Cognitive Disability,IN
19,0.0449178833,84022,1870569,18448,5,Cognitive Disability,IA
20,0.0428474301,74806,1745869,16897,5,Cognitive Disability,KS
21,0.0679379606,183684,2703702,26671,5,Cognitive Disability,KY
22,0.0525805308,149461,2842516,26238,5,Cognitive Disability,LA
23,0.0708877096,58773,829100,7753,5,Cognitive Disability,ME
24,0.0344720843,129289,3750542,36185,5,Cognitive Disability,MD
25,0.0427944193,183053,4277497,42728,5,Cognitive Disability,MA
26,0.0563498261,344093,6106372,59409,5,Cognitive Disability,MI
27,0.0415685787,139868,3364753,32687,5,Cognitive Disability,MN
28,0.0637115757,114627,1799155,17127,5,Cognitive Disability,MS
29,0.0556242392,204940,3684365,36041,5,Cognitive Disability,MO
30,0.0481936054,29925,620933,5928,5,Cognitive Disability,MT
31,0.0329884218,37253,1129275,10913,5,Cognitive Disability,NE
32,0.0415335112,71715,1726678,16016,5,Cognitive Disability,NV
33,0.0461530431,38903,842913,8272,5,Cognitive Disability,NH
34,0.03059095,169321,5535003,53696,5,Cognitive Disability,NJ
35,0.0566612096,70917,1251597,11287,5,Cognitive Disability,NM
36,0.035892577,447881,12478374,120673,5,Cognitive Disability,NY
37,0.0484529973,295165,6091780,58378,5,Cognitive Disability,NC
38,0.0306789955,14018,456925,4343,5,Cognitive Disability,ND
39,0.0511118236,362170,7085836,70546,5,Cognitive Disability,OH
40,0.0511598722,118468,2315643,21397,5,Cognitive Disability,OK
41,0.0599324139,146510,2444587,23443,5,Cognitive Disability,OR
42,0.0485298866,381432,7859734,76903,5,Cognitive Disability,PA
44,0.0440174945,29589,672210,6700,5,Cognitive Disability,RI
45,0.0498718716,145982,2927141,27865,5,Cognitive Disability,SC
46,0.0456250456,23147,507331,4900,5,Cognitive Disability,SD
47,0.0601714287,240835,4002481,38926,5,Cognitive Disability,TN
48,0.0391036056,632308,16170069,149672,5,Cognitive Disability,TX
49,0.0373794611,63730,1704947,16322,5,Cognitive Disability,UT
50,0.0519362244,20587,396390,3989,5,Cognitive Disability,VT
51,0.0372249791,194303,5219694,51029,5,Cognitive Disability,VA
53,0.0487491166,214103,4391936,41955,5,Cognitive Disability,WA
54,0.0744192653,84359,1133564,10788,5,Cognitive Disability,WV
55,0.0437233869,155051,3546180,34910,5,Cognitive Disability,WI
56,0.0355881848,12841,360822,3454,5,Cognitive Disability,WY
,0.0185312081,3621948,195451261,1872500,6,Self-Care Disability,
1,0.0265028094,78370,2957045,28016,6,Self-Care Disability,AL
2,0.0132883078,6300,474101,4059,6,Self-Care Disability,AK
4,0.0173036353,67823,3919581,37677,6,Self-Care Disability,AZ
5,0.0276003913,48753,1766388,16985,6,Self-Care Disability,AR
6,0.0158036634,380941,24104601,227321,6,Self-Care Disability,CA
8,0.0132951848,44405,3339931,32154,6,Self-Care Disability,CO
9,0.0135291413,30370,2244784,21900,6,Self-Care Disability,CT
10,0.0206887093,11766,568716,5162,6,Self-Care Disability,DE
11,0.0161925065,7398,456878,4533,6,Self-Care Disability,DC
12,0.0186758963,218670,11708675,109898,6,Self-Care Disability,FL
13,0.0198696334,123205,6200668,57721,6,Self-Care Disability,GA
15,0.0121482053,10572,870252,8598,6,Self-Care Disability,HI
16,0.0190479799,18098,950127,8971,6,Self-Care Disability,ID
17,0.0166093975,133372,8029912,77542,6,Self-Care Disability,IL
18,0.0205667961,82537,4013119,39474,6,Self-Care Disability,IN
19,0.0157246271,29414,1870569,18448,6,Self-Care Disability,IA
20,0.017143898,29931,1745869,16897,6,Self-Care Disability,KS
21,0.027925045,75501,2703702,26671,6,Self-Care Disability,KY
22,0.02359846,67079,2842516,26238,6,Self-Care Disability,LA
23,0.0211072247,17500,829100,7753,6,Self-Care Disability,ME
24,0.0139702475,52396,3750542,36185,6,Self-Care Disability,MD
25,0.0172098309,73615,4277497,42728,6,Self-Care Disability,MA
26,0.0250105955,152724,6106372,59409,6,Self-Care Disability,MI
27,0.0131947278,44397,3364753,32687,6,Self-Care Disability,MN
28,0.0292637377,52650,1799155,17127,6,Self-Care Disability,MS
29,0.0196888745,72541,3684365,36041,6,Self-Care Disability,MO
30,0.018299881,11363,620933,5928,6,Self-Care Disability,MT
31,0.0111106683,12547,1129275,10913,6,Self-Care Disability,NE
32,0.0186879082,32268,1726678,16016,6,Self-Care Disability,NV
33,0.0137333272,11576,842913,8272,6,Self-Care Disability,NH
34,0.0145391068,80474,5535003,53696,6,Self-Care Disability,NJ
35,0.0240109236,30052,1251597,11287,6,Self-Care Disability,NM
36,0.0154002437,192170,12478374,120673,6,Self-Care Disability,NY
37,0.0225863377,137591,6091780,58378,6,Self-Care Disability,NC
38,0.0129977567,5939,456925,4343,6,Self-Care Disability,ND
39,0.0213046139,150961,7085836,70546,6,Self-Care Disability,OH
40,0.0249714658,57825,2315643,21397,6,Self-Care Disability,OK
41,0.0222573384,54410,2444587,23443,6,Self-Care Disability,OR
42,0.0185828172,146056,7859734,76903,6,Self-Care Disability,PA
44,0.0168533643,11329,672210,6700,6,Self-Care Disability,RI
45,0.0221441331,64819,2927141,27865,6,Self-Care Disability,SC
46,0.0199002229,10096,507331,4900,6,Self-Care Disability,SD
47,0.0253125499,101313,4002481,38926,6,Self-Care Disability,TN
48,0.0181514995,293511,16170069,149672,6,Self-Care Disability,TX
49,0.013203343,22511,1704947,16322,6,Self-Care Disability,UT
50,0.0192966523,7649,396390,3989,6,Self-Care Disability,VT
51,0.0150200376,78400,5219694,51029,6,Self-Care Disability,VA
53,0.0184854697,81187,4391936,41955,6,Self-Care Disability,WA
54,0.0330418044,37455,1133564,10788,6,Self-Care Disability,WV
55,0.0155917071,55291,3546180,34910,6,Self-Care Disability,WI
56,0.0133777874,4827,360822,3454,6,Self-Care Disability,WY
,0.0362789473,7090766,195451261,1872500,7,Independent Living Disability,
1,0.0482742062,142749,2957045,28016,7,Independent Living Disability,AL
2,0.0245538398,11641,474101,4059,7,Independent Living Disability,AK
4,0.0347001376,136010,3919581,37677,7,Independent Living Disability,AZ
5,0.0567734835,100284,1766388,16985,7,Independent Living Disability,AR
6,0.0305961505,737508,24104601,227321,7,Independent Living Disability,CA
8,0.0274293092,91612,3339931,32154,7,Independent Living Disability,CO
9,0.0277091248,62201,2244784,21900,7,Independent Living Disability,CT
10,0.0383688871,21821,568716,5162,7,Independent Living Disability,DE
11,0.0241136584,11017,456878,4533,7,Independent Living Disability,DC
12,0.0357194986,418228,11708675,109898,7,Independent Living Disability,FL
13,0.0375233765,232670,6200668,57721,7,Independent Living Disability,GA
15,0.0268163704,23337,870252,8598,7,Independent Living Disability,HI
16,0.035707858,33927,950127,8971,7,Independent Living Disability,ID
17,0.0331166767,265924,8029912,77542,7,Independent Living Disability,IL
18,0.0403870406,162078,4013119,39474,7,Independent Living Disability,IN
19,0.031066483,58112,1870569,18448,7,Independent Living Disability,IA
20,0.0328569898,57364,1745869,16897,7,Independent Living Disability,KS
21,0.0558286379,150944,2703702,26671,7,Independent Living Disability,KY
22,0.0466649968,132646,2842516,26238,7,Independent Living Disability,LA
23,0.0518417561,42982,829100,7753,7,Independent Living Disability,ME
24,0.0279487605,104823,3750542,36185,7,Independent Living Disability,MD
25,0.0342204799,146378,4277497,42728,7,Independent Living Disability,MA
26,0.0484590523,295909,6106372,59409,7,Independent Living Disability,MI
27,0.0299796151,100874,3364753,32687,7,Independent Living Disability,MN
28,0.0567977745,102188,1799155,17127,7,Independent Living Disability,MS
29,0.0424488345,156397,3684365,36041,7,Independent Living Disability,MO
30,0.0370152657,22984,620933,5928,7,Independent Living Disability,MT
31,0.0237231852,26790,1129275,10913,7,Independent Living Disability,NE
32,0.0362650129,62618,1726678,16016,7,Independent Living Disability,NV
33,0.0341695999,28802,842913,8272,7,Independent Living Disability,NH
34,0.0283130831,156713,5535003,53696,7,Independent Living Disability,NJ
35,0.0477461995,59759,1251597,11287,7,Independent Living Disability,NM
36,0.0310722375,387731,12478374,120673,7,Independent Living Disability,NY
37,0.0416236305,253562,6091780,58378,7,Independent Living Disability,NC
38,0.0254243038,11617,456925,4343,7,Independent Living Disability,ND
39,0.0416528127,295145,7085836,70546,7,Independent Living Disability,OH
40,0.0449300691,104042,2315643,21397,7,Independent Living Disability,OK
41,0.0418303787,102258,2444587,23443,7,Independent Living Disability,OR
42,0.0386061411,303434,7859734,76903,7,Independent Living Disability,PA
44,0.0345457521,23222,672210,6700,7,Independent Living Disability,RI
45,0.0421394118,123348,2927141,27865,7,Independent Living Disability,SC
46,0.0359627147,18245,507331,4900,7,Independent Living Disability,SD
47,0.049697675,198914,4002481,38926,7,Independent Living Disability,TN
48,0.0324960271,525463,16170069,149672,7,Independent Living Disability,TX
49,0.0281973575,48075,1704947,16322,7,Independent Living Disability,UT
50,0.0369963924,14665,396390,3989,7,Independent Living Disability,VT
51,0.0297341185,155203,5219694,51029,7,Independent Living Disability,VA
53,0.0376806493,165491,4391936,41955,7,Independent Living Disability,WA
54,0.0684381297,77579,1133564,10788,7,Independent Living Disability,WV
55,0.0323734272,114802,3546180,34910,7,Independent Living Disability,WI
56,0.0295990821,10680,360822,3454,7,Independent Living Disability,WY
